system_id,comp1,comp2,T_K,x1,y1,P_kPa,Psat1_kPa,Psat2_kPa,source,data_type
2,ethanol,cyclohexane,308.15,0.45,0.4139,43.2308,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.5,0.3773,43.7595,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.55,0.3435,44.8268,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.6,0.3131,46.3809,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.65,0.2863,48.3473,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.7,0.2636,50.5943,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.75,0.2459,52.8655,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.8,0.2345,54.6525,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.85,0.2328,54.9416,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.9,0.2502,51.7029,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.95,0.325,40.826,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,0.98,0.4953,27.4084,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
2,ethanol,cyclohexane,308.15,1.0,1.0,13.8314,13.8314,20.0696,Kurihara_1993_JCED38/Chu_1950,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.0,0.0,13.0439,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.02,0.7004,42.7774,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.04,0.7859,59.112,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.06,0.8138,67.3995,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.08,0.8237,70.8669,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.1,0.8254,71.4799,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.15,0.8126,67.3419,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.2,0.7872,60.9871,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.25,0.7545,55.1248,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.3,0.7169,50.4129,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.35,0.6757,46.8897,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.4,0.6321,44.4328,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.45,0.5871,42.9056,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.5,0.5416,42.2002,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.55,0.4965,42.2443,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.6,0.4527,42.997,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.65,0.4109,44.4346,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
3,methanol,cyclohexane,298.15,0.7,0.3723,46.5248,16.8258,13.0439,Sinor_Weber_1960_JCED5,lit-NRTL-calc
